orderId,size,side,time,active,offerPrice,symbol
1,120,1,2020-01-01T12:00:00,1,576.45,GOOG
2,75,1,2020-01-01T12:00:01,1,576.45,GOOG
3,500,1,2020-01-01T12:00:02,1,576.4,GOOG
4,10,1,2020-01-01T12:00:03,1,575.37,GOOG
5,10,1,2020-01-01T12:00:04,1,576.36,GOOG
6,8,1,2020-01-01T12:00:05,1,576.26,GOOG
7,2,1,2020-01-01T12:00:06,1,576.25,GOOG
8,30,1,2020-01-01T12:00:07,1,576.2,GOOG
9,100,1,2020-01-01T12:00:08,1,576.2,GOOG
10,22,1,2020-01-01T12:00:09,1,576.12,GOOG
11,0,0,2020-01-01T12:00:10,0,576.45,GOOG
12,0,0,2020-01-01T12:00:11,0,576.45,GOOG
13,100,0,2020-01-01T12:00:12,1,576.45,GOOG
14,100,0,2020-01-01T12:00:13,1,576.45,GOOG
15,100,0,2020-01-01T12:00:14,1,576.74,GOOG
16,100,0,2020-01-01T12:00:15,1,576.8,GOOG
17,100,0,2020-01-01T12:00:16,1,576.85,GOOG
18,100,0,2020-01-01T12:00:17,1,576.85,GOOG
19,100,0,2020-01-01T12:00:18,1,576.86,GOOG
20,22,0,2020-01-01T12:00:19,1,576.87,GOOG
21,120,1,2020-01-01T12:00:20,1,576.45,AAPL
22,75,1,2020-01-01T12:00:21,1,576.45,AAPL
23,500,1,2020-01-01T12:00:22,1,576.4,AAPL
24,10,1,2020-01-01T12:00:23,1,575.37,AAPL
25,10,1,2020-01-01T12:00:24,1,576.36,AAPL
26,8,1,2020-01-01T12:00:25,1,576.26,AAPL
27,2,1,2020-01-01T12:00:26,1,576.25,AAPL
28,30,1,2020-01-01T12:00:27,1,576.2,AAPL
29,100,1,2020-01-01T12:00:28,1,576.2,AAPL
30,22,1,2020-01-01T12:00:29,1,576.12,AAPL
31,0,0,2020-01-01T12:00:30,0,576.45,AAPL
32,0,0,2020-01-01T12:00:31,0,576.45,AAPL
33,100,0,2020-01-01T12:00:32,1,576.45,AAPL
34,100,0,2020-01-01T12:00:33,1,576.45,AAPL
35,100,0,2020-01-01T12:00:34,1,576.74,AAPL
36,100,0,2020-01-01T12:00:35,1,576.8,AAPL
37,100,0,2020-01-01T12:00:36,1,576.85,AAPL
38,100,0,2020-01-01T12:00:37,1,576.85,AAPL
39,100,0,2020-01-01T12:00:38,1,576.86,AAPL
40,22,0,2020-01-01T12:00:39,1,576.87,AAPL
